Age,Income,Home,Emp_length,Intent,Amount,Rate,High_Interest_Flag,Status,Percent_income,Cred_length,Default
22,59000,RENT,4,PERSONAL,35000,16.02,1,1,0.5932203389830508,3,1
21,9600,OWN,5,EDUCATION,1000,11.14,0,0,0.10416666666666667,2,0
25,9600,MORTGAGE,1,MEDICAL,5500,12.87,1,1,0.5729166666666666,3,0
23,65500,RENT,4,MEDICAL,35000,15.23,1,1,0.5343511450381679,2,0
24,54400,RENT,8,MEDICAL,35000,14.27,1,1,0.6433823529411765,4,1
21,9900,OWN,2,VENTURE,2500,7.14,0,1,0.25252525252525254,2,0
26,77100,RENT,8,EDUCATION,35000,12.42,1,1,0.45395590142671854,3,0
24,78956,RENT,5,MEDICAL,35000,11.11,0,1,0.44328486752115104,4,0
24,83000,RENT,8,PERSONAL,35000,8.9,0,1,0.42168674698795183,2,0
21,10000,OWN,6,VENTURE,1600,14.74,1,1,0.16,3,0
22,85000,RENT,6,VENTURE,35000,10.37,0,1,0.4117647058823529,4,0
21,10000,OWN,2,HOME IMPROVEMENT,4500,8.63,0,1,0.45,2,0
23,95000,RENT,2,VENTURE,35000,7.9,0,1,0.3684210526315789,2,0
26,108160,RENT,4,EDUCATION,35000,18.39,1,1,0.323594674556213,4,0
23,115000,RENT,2,EDUCATION,35000,7.9,0,0,0.30434782608695654,4,0
23,500000,MORTGAGE,7,DEBT CONSOLIDATION,30000,10.65,0,0,0.06,3,0
23,120000,RENT,0,EDUCATION,35000,7.9,0,0,0.2916666666666667,4,0
23,92111,RENT,7,MEDICAL,35000,20.25,1,1,0.3799763329026935,4,0
23,113000,RENT,8,DEBT CONSOLIDATION,35000,18.25,1,1,0.30973451327433627,4,0
24,10800,MORTGAGE,8,EDUCATION,1750,10.99,0,1,0.16203703703703703,2,0
25,162500,RENT,2,VENTURE,35000,7.49,0,0,0.2153846153846154,4,0
25,137000,RENT,9,PERSONAL,34800,16.77,1,0,0.25401459854014596,2,1
22,65000,RENT,4,EDUCATION,34000,17.58,1,1,0.5230769230769231,4,0
24,10980,OWN,0,PERSONAL,1500,7.29,0,0,0.1366120218579235,3,0
22,80000,RENT,3,PERSONAL,33950,14.54,1,1,0.424375,4,1
24,67746,RENT,8,HOME IMPROVEMENT,33000,12.68,1,1,0.4871136303250376,3,0
21,11000,MORTGAGE,3,VENTURE,4575,17.74,1,1,0.4159090909090909,3,1
23,11000,OWN,0,PERSONAL,1400,9.32,0,0,0.12727272727272726,3,0
24,65000,RENT,6,HOME IMPROVEMENT,32500,9.99,0,1,0.5,3,0
21,11389,RENT,5,EDUCATION,4000,12.84,1,1,0.3512160856967249,2,1
21,11520,OWN,5,MEDICAL,2000,11.12,0,1,0.1736111111111111,3,0
25,120000,RENT,2,VENTURE,32000,6.62,0,0,0.26666666666666666,2,0
26,95000,RENT,7,HOME IMPROVEMENT,31050,14.17,1,1,0.3268421052631579,3,1
25,306000,RENT,2,DEBT CONSOLIDATION,24250,13.85,1,0,0.07924836601307189,3,0
26,300000,MORTGAGE,10,MEDICAL,7800,13.49,1,0,0.026,4,0
21,12000,OWN,5,EDUCATION,2500,7.51,0,1,0.20833333333333334,4,0
22,48000,RENT,1,EDUCATION,30000,18.39,1,1,0.625,2,0
24,64000,RENT,8,DEBT CONSOLIDATION,30000,14.54,1,1,0.46875,3,1
25,75000,RENT,4,HOME IMPROVEMENT,30000,16.89,1,1,0.4,4,1
23,71500,RENT,3,DEBT CONSOLIDATION,30000,10.99,0,1,0.4195804195804196,4,0
